고유 키,아이템 키 참조여부,스킬ID 참조여부,"모듈4 타입 (pull=0, push=1, shadow=2, impact= 3)",시전 범위1,시전 시간,사운드 경로,VFX 경로,VFX2 경로,주석
4040015,3230015,4000004,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,공중 낙하
4040016,3230016,4000004,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,공중 낙하
4040017,3230017,4000005,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,후방 기습
4040018,3230018,4000005,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,후방 기습
4040019,3230019,4000005,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,후방 기습
4040020,3230020,4000005,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,후방 기습
4040021,3230021,4000006,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,칼날 결계
4040022,3230022,4000006,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,칼날 결계
4040023,3230023,4000006,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,칼날 결계
4040024,3230024,4000006,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,칼날 결계
4040025,3230025,4000007,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,십자 절단
4040026,3230026,4000007,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,십자 절단
4040027,3230027,4000007,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,십자 절단
4040028,3230028,4000007,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,십자 절단
4040029,3230029,4000008,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,잔상 찌르기
4040030,3230030,4000008,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,잔상 찌르기
4040031,3230031,4000008,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,잔상 찌르기
4040032,3230032,4000008,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,잔상 찌르기
4040033,3230033,4000009,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,멸살의 영역
4040034,3230034,4000009,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,멸살의 영역
4040035,3230035,4000009,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,멸살의 영역
4040036,3230036,4000009,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,멸살의 영역
4040037,3230037,4000010,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,환영 난무
4040038,3230038,4000010,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,환영 난무
4040039,3230039,4000010,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,환영 난무
4040040,3230040,4000010,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,환영 난무
