잼 ID,아이템 키 참조여부,스킬ID 참조여부,"상태이상 타입(fire=0, poison=1, bleed=2)",데미지 주기(1=1초),"발동 방식(assignTarget=0, strikeLocation=1)",상태 지속시간(1=1초),최대 중첩 횟수,방어력 감소량 (0.01=1%),아이콘 경로,사운드 경로,시전 VFX 경로,추가 VFX 경로,주석
4050010,3220010,4000004,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050010.png,Assets/02. Sound/Skill/gemsound_4050010.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,공중 낙하
4050011,3220011,4000004,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050011.png,Assets/02. Sound/Skill/gemsound_4050011.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,공중 낙하
4050012,3220012,4000004,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050012.png,Assets/02. Sound/Skill/gemsound_4050012.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,공중 낙하
4050013,3220013,4000005,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050013.png,Assets/02. Sound/Skill/gemsound_4050013.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,후방 기습
4050014,3220014,4000005,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050014.png,Assets/02. Sound/Skill/gemsound_4050014.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,후방 기습
4050015,3220015,4000005,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050015.png,Assets/02. Sound/Skill/gemsound_4050015.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,후방 기습
4050016,3220016,4000006,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050016.png,Assets/02. Sound/Skill/gemsound_4050016.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,칼날 결계
4050017,3220017,4000006,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050017.png,Assets/02. Sound/Skill/gemsound_4050017.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,칼날 결계
4050018,3220018,4000006,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050018.png,Assets/02. Sound/Skill/gemsound_4050018.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,칼날 결계
4050019,3220019,4000007,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050019.png,Assets/02. Sound/Skill/gemsound_4050019.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,십자 절단
4050020,3220020,4000007,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050020.png,Assets/02. Sound/Skill/gemsound_4050020.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,십자 절단
4050021,3220021,4000007,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050021.png,Assets/02. Sound/Skill/gemsound_4050021.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,십자 절단
4050022,3220022,4000008,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050022.png,Assets/02. Sound/Skill/gemsound_4050022.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,잔상 찌르기
4050023,3220023,4000008,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050023.png,Assets/02. Sound/Skill/gemsound_4050023.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,잔상 찌르기
4050024,3220024,4000008,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050024.png,Assets/02. Sound/Skill/gemsound_4050024.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,잔상 찌르기
4050025,3220025,4000009,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050025.png,Assets/02. Sound/Skill/gemsound_4050025.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,멸살의 영역
4050026,3220026,4000009,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050026.png,Assets/02. Sound/Skill/gemsound_4050026.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,멸살의 영역
4050027,3220027,4000009,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050027.png,Assets/02. Sound/Skill/gemsound_4050027.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,멸살의 영역
4050028,3220028,4000010,0,0.3,1,2.1,0,0.1,Assets/02. Icon/Skill/gemicon_4050028.png,Assets/02. Sound/Skill/gemsound_4050028.mp3,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,환영 난무
4050029,3220029,4000010,1,0.5,0,5,0,0,Assets/02. Icon/Skill/gemicon_4050029.png,Assets/02. Sound/Skill/gemsound_4050029.mp3,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,환영 난무
4050030,3220030,4000010,2,1,0,8,5,0,Assets/02. Icon/Skill/gemicon_4050030.png,Assets/02. Sound/Skill/gemsound_4050030.mp3,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,환영 난무
