오프라인 보상 ID,스테이지 레벨,단위 시간 (분),보상 가중치,골드 보상 (분),경험 치 보상 (분),장비 드랍 id,장비 드랍 확률(%),픽시조각 드랍 확률(%),스킬 주문서 드랍 확률(%),스킬 잼 드랍 확률(%),입장권 드랍 확률(%),빙고 일반 링크 드랍 확률,빙고 희귀 링크 드랍 확률,빙고 영웅 링크 드랍 확률,빙고 전설 링크 드랍 확률,빙고 신화 링크 드랍 확률,당기기 아이템 A드랍 확률,빙고 아이템 B드랍 확률,시너지 (일반),시너지 (희귀),시너지 (영웅),시너지 (전설),시너지 (신화)
6610054,54,0.5,0.6,2984594,956,6520054,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610055,55,0.5,0.6,3429583,1004,6520055,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610056,56,0.5,0.6,3941320,1054,6520056,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610057,57,0.5,0.6,4529818,1106,6520057,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610058,58,0.5,0.6,5206591,1162,6520058,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610059,59,0.5,0.6,5984879,1220,6520059,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610060,60,0.5,0.6,6879911,1281,6520060,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610061,61,0.5,0.6,7909198,1345,6520061,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610062,62,0.5,0.6,9092877,1412,6520062,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610063,63,0.5,0.6,10454109,1483,6520063,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610064,64,0.5,0.6,12019525,1557,6520064,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610065,65,0.5,0.6,13819754,1635,6520065,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610066,66,0.5,0.6,15890017,1716,6520066,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610067,67,0.5,0.6,18270820,1802,6520067,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610068,68,0.5,0.6,21008743,1892,6520068,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610069,69,0.5,0.6,24157354,1987,6520069,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610070,70,0.5,0.6,27778257,2086,6520070,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610071,71,0.5,0.6,31942296,2191,6520071,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610072,72,0.5,0.6,36730940,2300,6520072,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610073,73,0.5,0.6,42237882,2415,6520073,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610074,74,0.5,0.6,48570864,2536,6520074,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610075,75,0.5,0.6,55853793,2663,6520075,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610076,76,0.5,0.6,64229162,2796,6520076,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610077,77,0.5,0.6,73860837,2936,6520077,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610078,78,0.5,0.6,84937262,3083,6520078,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610079,79,0.5,0.6,97675152,3237,6520079,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610080,80,0.5,0.6,112323724,3398,6520080,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610081,81,0.5,0.6,129169583,3568,6520081,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610082,82,0.5,0.6,148542320,3747,6520082,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610083,83,0.5,0.6,170820968,3934,6520083,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610084,84,0.5,0.6,196441414,4131,6520084,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610085,85,0.5,0.6,225904926,4337,6520085,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610086,86,0.5,0.6,259787965,4554,6520086,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610087,87,0.5,0.6,298753459,4782,6520087,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610088,88,0.5,0.6,343563778,5021,6520088,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610089,89,0.5,0.6,395095645,5272,6520089,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610090,90,0.5,0.6,454357292,5536,6520090,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610091,91,0.5,0.6,522508185,5813,6520091,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610092,92,0.5,0.6,600881713,6103,6520092,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610093,93,0.5,0.6,691011270,6408,6520093,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610094,94,0.5,0.6,794660261,6729,6520094,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610095,95,0.5,0.6,913856600,7065,6520095,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610096,96,0.5,0.6,1050932390,7418,6520096,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610097,97,0.5,0.6,1208569548,7789,6520097,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610098,98,0.5,0.6,1389852280,8179,6520098,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610099,99,0.5,0.6,1598327423,8588,6520099,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610100,100,0.5,0.6,1838073836,9017,6520100,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610101,101,0.5,0.6,2113782211,9468,6520101,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610102,102,0.5,0.6,2430846843,9941,6520102,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610103,103,0.5,0.6,2795471169,10439,6520103,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610104,104,0.5,0.6,3214789145,10960,6520104,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610105,105,0.5,0.6,3697004817,11509,6520105,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610106,106,0.5,0.6,4251552839,12084,6520106,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610107,107,0.5,0.6,4889283065,12688,6520107,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610108,108,0.5,0.6,5622672825,13323,6520108,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610109,109,0.5,0.6,6466071048,13989,6520109,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610110,110,0.5,0.6,7435979006,14688,6520110,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610111,111,0.5,0.6,8551373156,15423,6520111,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610112,112,0.5,0.6,9834076430,16194,6520112,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610113,113,0.5,0.6,11309185194,17003,6520113,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610114,114,0.5,0.6,13005560273,17853,6520114,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610115,115,0.5,0.6,14956391614,18746,6520115,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610116,116,0.5,0.6,17199847657,19683,6520116,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610117,117,0.5,0.6,19779822105,20668,6520117,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610118,118,0.5,0.6,22746792721,21701,6520118,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610119,119,0.5,0.6,26158808929,22786,6520119,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610120,120,0.5,0.6,30082627568,23925,6520120,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610121,121,0.5,0.6,34595019003,25122,6520121,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610122,122,0.5,0.6,39784269154,26378,6520122,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610123,123,0.5,0.6,45751906827,27697,6520123,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610124,124,0.5,0.6,52614690151,29081,6520124,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610125,125,0.5,0.6,60506890974,30536,6520125,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610126,126,0.5,0.6,69582921920,32062,6520126,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610127,127,0.5,0.6,80020357508,33665,6520127,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610128,128,0.5,0.6,92023408434,35349,6520128,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610129,129,0.5,0.6,105826916999,37116,6520129,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610130,130,0.5,0.6,121700951849,38972,6520130,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610131,131,0.5,0.6,139956091926,40921,6520131,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610132,132,0.5,0.6,160949503015,42967,6520132,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610133,133,0.5,0.6,185091925768,45115,6520133,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610134,134,0.5,0.6,212855711933,47371,6520134,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610135,135,0.5,0.6,244784066023,49739,6520135,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610136,136,0.5,0.6,281501673226,52226,6520136,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610137,137,0.5,0.6,323726921510,54837,6520137,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610138,138,0.5,0.6,372285957037,57579,6520138,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610139,139,0.5,0.6,428128847892,60458,6520139,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610140,140,0.5,0.6,492348172376,63481,6520140,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610141,141,0.5,0.6,566200395532,66655,6520141,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610142,142,0.5,0.6,651130452162,69988,6520142,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610143,143,0.5,0.6,748800017286,73487,6520143,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610144,144,0.5,0.6,861120017179,77162,6520144,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
