아이템 ID,아이템 타입,아이템 명 스트링 키,스택 가능 여부,아이템 명
3140305,14,,FALSE,3성신화갑옷
3140401,14,,FALSE,4성일반갑옷
3140402,14,,FALSE,4성희귀갑옷
3140403,14,,FALSE,4성레어갑옷
3140404,14,,FALSE,4성전설갑옷
3140405,14,,FALSE,4성신화갑옷
3140501,14,,FALSE,5성일반갑옷
3140502,14,,FALSE,5성희귀갑옷
3140503,14,,FALSE,5성레어갑옷
3140504,14,,FALSE,5성전설갑옷
3140505,14,,FALSE,5성신화갑옷
3150101,15,,FALSE,1성일반장화
3150102,15,,FALSE,1성희귀장화
3150103,15,,FALSE,1성레어장화
3150104,15,,FALSE,1성전설장화
3150105,15,,FALSE,1성신화장화
3150201,15,,FALSE,2성일반장화
3150202,15,,FALSE,2성희귀장화
3150203,15,,FALSE,2성레어장화
3150204,15,,FALSE,2성전설장화
3150205,15,,FALSE,2성신화장화
3150301,15,,FALSE,3성일반장화
3150302,15,,FALSE,3성희귀장화
3150303,15,,FALSE,3성레어장화
3150304,15,,FALSE,3성전설장화
3150305,15,,FALSE,3성신화장화
3150401,15,,FALSE,4성일반장화
3150402,15,,FALSE,4성희귀장화
3150403,15,,FALSE,4성레어장화
3150404,15,,FALSE,4성전설장화
3150405,15,,FALSE,4성신화장화
3150501,15,,FALSE,5성일반장화
3150502,15,,FALSE,5성희귀장화
3150503,15,,FALSE,5성레어장화
3150504,15,,FALSE,5성전설장화
3150505,15,,FALSE,5성신화장화
