스테이지 ID,스테이지 정보,스테이지 타입,스테이지 레벨,층,씬,스테이지명 스트링 키,보스를 소환하기 위한 몬스터 처치 수,드랍 테이블,일반 몬스터 경험치,보스 몬스터 경험치,몬스터 스폰 그룹,맵 오브젝트,몬스터 성장 id
6010029,일반 스테이지,1,29,2,9,일반 스테이지,40,6510029,8,39,3,theme02,2310029
6010030,일반 스테이지,1,30,2,10,일반 스테이지,40,6510030,8,41,3,theme02,2310030
6010031,일반 스테이지,1,31,2,11,일반 스테이지,40,6510031,9,43,4,theme02,2310031
6010032,일반 스테이지,1,32,2,12,일반 스테이지,40,6510032,9,45,4,theme02,2310032
6010033,일반 스테이지,1,33,2,13,일반 스테이지,40,6510033,10,48,4,theme02,2310033
6010034,일반 스테이지,1,34,2,14,일반 스테이지,40,6510034,10,50,4,theme02,2310034
6010035,일반 스테이지,1,35,2,15,일반 스테이지,40,6510035,11,53,4,theme02,2310035
6010036,일반 스테이지,1,36,2,16,일반 스테이지,40,6510036,11,55,4,theme02,2310036
6010037,일반 스테이지,1,37,2,17,일반 스테이지,40,6510037,12,58,4,theme02,2310037
6010038,일반 스테이지,1,38,2,18,일반 스테이지,40,6510038,12,61,4,theme02,2310038
6010039,일반 스테이지,1,39,2,19,일반 스테이지,40,6510039,13,64,4,theme02,2310039
6010040,일반 스테이지,1,40,2,20,일반 스테이지,40,6510040,13,67,4,theme02,2310040
6010041,일반 스테이지,1,41,3,1,일반 스테이지,40,6510041,14,70,5,theme02,2310041
6010042,일반 스테이지,1,42,3,2,일반 스테이지,40,6510042,15,74,5,theme02,2310042
6010043,일반 스테이지,1,43,3,3,일반 스테이지,40,6510043,16,78,5,theme02,2310043
6010044,일반 스테이지,1,44,3,4,일반 스테이지,40,6510044,16,81,5,theme02,2310044
6010045,일반 스테이지,1,45,3,5,일반 스테이지,40,6510045,17,86,5,theme02,2310045
6010046,일반 스테이지,1,46,3,6,일반 스테이지,40,6510046,18,90,5,theme02,2310046
6010047,일반 스테이지,1,47,3,7,일반 스테이지,40,6510047,19,94,5,theme02,2310047
6010048,일반 스테이지,1,48,3,8,일반 스테이지,40,6510048,20,99,5,theme02,2310048
6010049,일반 스테이지,1,49,3,9,일반 스테이지,40,6510049,21,104,5,theme02,2310049
6010050,일반 스테이지,1,50,3,10,일반 스테이지,40,6510050,22,109,5,theme02,2310050
6010051,일반 스테이지,1,51,3,11,일반 스테이지,40,6510051,23,115,6,theme02,2310051
6010052,일반 스테이지,1,52,3,12,일반 스테이지,40,6510052,24,120,6,theme02,2310052
6010053,일반 스테이지,1,53,3,13,일반 스테이지,40,6510053,25,126,6,theme02,2310053
6010054,일반 스테이지,1,54,3,14,일반 스테이지,40,6510054,27,133,6,theme02,2310054
6010055,일반 스테이지,1,55,3,15,일반 스테이지,40,6510055,28,139,6,theme02,2310055
6010056,일반 스테이지,1,56,3,16,일반 스테이지,40,6510056,29,146,6,theme02,2310056
6010057,일반 스테이지,1,57,3,17,일반 스테이지,40,6510057,31,154,6,theme02,2310057
6010058,일반 스테이지,1,58,3,18,일반 스테이지,40,6510058,32,161,6,theme02,2310058
6010059,일반 스테이지,1,59,3,19,일반 스테이지,40,6510059,34,169,6,theme02,2310059
6010060,일반 스테이지,1,60,3,20,일반 스테이지,40,6510060,36,178,6,theme02,2310060
6010061,일반 스테이지,1,61,4,1,일반 스테이지,40,6510061,37,187,7,theme02,2310061
6010062,일반 스테이지,1,62,4,2,일반 스테이지,40,6510062,39,196,7,theme02,2310062
6010063,일반 스테이지,1,63,4,3,일반 스테이지,40,6510063,41,206,7,theme02,2310063
6010064,일반 스테이지,1,64,4,4,일반 스테이지,40,6510064,43,216,7,theme02,2310064
6010065,일반 스테이지,1,65,4,5,일반 스테이지,40,6510065,45,227,7,theme02,2310065
6010066,일반 스테이지,1,66,4,6,일반 스테이지,40,6510066,48,238,7,theme02,2310066
6010067,일반 스테이지,1,67,4,7,일반 스테이지,40,6510067,50,250,7,theme02,2310067
6010068,일반 스테이지,1,68,4,8,일반 스테이지,40,6510068,53,263,7,theme02,2310068
6010069,일반 스테이지,1,69,4,9,일반 스테이지,40,6510069,55,276,7,theme02,2310069
6010070,일반 스테이지,1,70,4,10,일반 스테이지,40,6510070,58,290,7,theme02,2310070
6010071,일반 스테이지,1,71,4,11,일반 스테이지,40,6510071,61,304,8,theme02,2310071
6010072,일반 스테이지,1,72,4,12,일반 스테이지,40,6510072,64,319,8,theme02,2310072
6010073,일반 스테이지,1,73,4,13,일반 스테이지,40,6510073,67,335,8,theme02,2310073
6010074,일반 스테이지,1,74,4,14,일반 스테이지,40,6510074,70,352,8,theme02,2310074
6010075,일반 스테이지,1,75,4,15,일반 스테이지,40,6510075,74,370,8,theme02,2310075
6010076,일반 스테이지,1,76,4,16,일반 스테이지,40,6510076,78,388,8,theme02,2310076
6010077,일반 스테이지,1,77,4,17,일반 스테이지,40,6510077,82,408,8,theme02,2310077
6010078,일반 스테이지,1,78,4,18,일반 스테이지,40,6510078,86,428,8,theme02,2310078
6010079,일반 스테이지,1,79,4,19,일반 스테이지,40,6510079,90,450,8,theme02,2310079
6010080,일반 스테이지,1,80,4,20,일반 스테이지,40,6510080,94,472,8,theme02,2310080
6010081,일반 스테이지,1,81,5,1,일반 스테이지,40,6510081,99,496,9,theme02,2310081
6010082,일반 스테이지,1,82,5,2,일반 스테이지,40,6510082,104,520,9,theme02,2310082
6010083,일반 스테이지,1,83,5,3,일반 스테이지,40,6510083,109,546,9,theme02,2310083
6010084,일반 스테이지,1,84,5,4,일반 스테이지,40,6510084,115,574,9,theme02,2310084
6010085,일반 스테이지,1,85,5,5,일반 스테이지,40,6510085,120,602,9,theme02,2310085
6010086,일반 스테이지,1,86,5,6,일반 스테이지,40,6510086,127,633,9,theme02,2310086
6010087,일반 스테이지,1,87,5,7,일반 스테이지,40,6510087,133,664,9,theme02,2310087
6010088,일반 스테이지,1,88,5,8,일반 스테이지,40,6510088,139,697,9,theme02,2310088
6010089,일반 스테이지,1,89,5,9,일반 스테이지,40,6510089,146,732,9,theme02,2310089
6010090,일반 스테이지,1,90,5,10,일반 스테이지,40,6510090,154,769,9,theme02,2310090
6010091,일반 스테이지,1,91,5,11,일반 스테이지,40,6510091,161,807,10,theme02,2310091
6010092,일반 스테이지,1,92,5,12,일반 스테이지,40,6510092,170,848,10,theme02,2310092
6010093,일반 스테이지,1,93,5,13,일반 스테이지,40,6510093,178,890,10,theme02,2310093
6010094,일반 스테이지,1,94,5,14,일반 스테이지,40,6510094,187,935,10,theme02,2310094
6010095,일반 스테이지,1,95,5,15,일반 스테이지,40,6510095,196,981,10,theme02,2310095
6010096,일반 스테이지,1,96,5,16,일반 스테이지,40,6510096,206,1030,10,theme02,2310096
6010097,일반 스테이지,1,97,5,17,일반 스테이지,40,6510097,216,1082,10,theme02,2310097
6010098,일반 스테이지,1,98,5,18,일반 스테이지,40,6510098,227,1136,10,theme02,2310098
6010099,일반 스테이지,1,99,5,19,일반 스테이지,40,6510099,239,1193,10,theme02,2310099
6010100,일반 스테이지,1,100,5,20,일반 스테이지,40,6510100,250,1252,10,theme02,2310100
6010101,일반 스테이지,1,101,6,1,일반 스테이지,40,6510101,263,1315,11,theme02,2310101
6010102,일반 스테이지,1,102,6,2,일반 스테이지,40,6510102,276,1381,11,theme02,2310102
6010103,일반 스테이지,1,103,6,3,일반 스테이지,40,6510103,290,1450,11,theme02,2310103
6010104,일반 스테이지,1,104,6,4,일반 스테이지,40,6510104,304,1522,11,theme02,2310104
6010105,일반 스테이지,1,105,6,5,일반 스테이지,40,6510105,320,1598,11,theme02,2310105
6010106,일반 스테이지,1,106,6,6,일반 스테이지,40,6510106,336,1678,11,theme02,2310106
6010107,일반 스테이지,1,107,6,7,일반 스테이지,40,6510107,352,1762,11,theme02,2310107
6010108,일반 스테이지,1,108,6,8,일반 스테이지,40,6510108,370,1850,11,theme02,2310108
6010109,일반 스테이지,1,109,6,9,일반 스테이지,40,6510109,389,1943,11,theme02,2310109
6010110,일반 스테이지,1,110,6,10,일반 스테이지,40,6510110,408,2040,11,theme02,2310110
6010111,일반 스테이지,1,111,6,11,일반 스테이지,40,6510111,428,2142,2,theme02,2310111
6010112,일반 스테이지,1,112,6,12,일반 스테이지,40,6510112,450,2249,2,theme02,2310112
6010113,일반 스테이지,1,113,6,13,일반 스테이지,40,6510113,472,2362,2,theme02,2310113
6010114,일반 스테이지,1,114,6,14,일반 스테이지,40,6510114,496,2480,2,theme02,2310114
6010115,일반 스테이지,1,115,6,15,일반 스테이지,40,6510115,521,2604,2,theme02,2310115
6010116,일반 스테이지,1,116,6,16,일반 스테이지,40,6510116,547,2734,2,theme02,2310116
6010117,일반 스테이지,1,117,6,17,일반 스테이지,40,6510117,574,2871,2,theme02,2310117
6010118,일반 스테이지,1,118,6,18,일반 스테이지,40,6510118,603,3014,2,theme02,2310118
6010119,일반 스테이지,1,119,6,19,일반 스테이지,40,6510119,633,3165,2,theme02,2310119
6010120,일반 스테이지,1,120,6,20,일반 스테이지,40,6510120,665,3323,2,theme02,2310120
6010121,일반 스테이지,1,121,7,1,일반 스테이지,40,6510121,698,3489,3,theme02,2310121
6010122,일반 스테이지,1,122,7,2,일반 스테이지,40,6510122,733,3664,3,theme02,2310122
6010123,일반 스테이지,1,123,7,3,일반 스테이지,40,6510123,769,3847,3,theme02,2310123
6010124,일반 스테이지,1,124,7,4,일반 스테이지,40,6510124,808,4039,3,theme02,2310124
6010125,일반 스테이지,1,125,7,5,일반 스테이지,40,6510125,848,4241,3,theme02,2310125
6010126,일반 스테이지,1,126,7,6,일반 스테이지,40,6510126,891,4453,3,theme02,2310126
6010127,일반 스테이지,1,127,7,7,일반 스테이지,40,6510127,935,4676,3,theme02,2310127
6010128,일반 스테이지,1,128,7,8,일반 스테이지,40,6510128,982,4910,3,theme02,2310128
6010129,일반 스테이지,1,129,7,9,일반 스테이지,40,6510129,1031,5155,3,theme02,2310129
6010130,일반 스테이지,1,130,7,10,일반 스테이지,40,6510130,1083,5413,3,theme02,2310130
6010131,일반 스테이지,1,131,7,11,일반 스테이지,40,6510131,1137,5683,4,theme02,2310131
6010132,일반 스테이지,1,132,7,12,일반 스테이지,40,6510132,1194,5968,4,theme02,2310132
6010133,일반 스테이지,1,133,7,13,일반 스테이지,40,6510133,1253,6266,4,theme02,2310133
6010134,일반 스테이지,1,134,7,14,일반 스테이지,40,6510134,1316,6579,4,theme02,2310134
6010135,일반 스테이지,1,135,7,15,일반 스테이지,40,6510135,1382,6908,4,theme02,2310135
6010136,일반 스테이지,1,136,7,16,일반 스테이지,40,6510136,1451,7254,4,theme02,2310136
6010137,일반 스테이지,1,137,7,17,일반 스테이지,40,6510137,1523,7616,4,theme02,2310137
6010138,일반 스테이지,1,138,7,18,일반 스테이지,40,6510138,1599,7997,4,theme02,2310138
6010139,일반 스테이지,1,139,7,19,일반 스테이지,40,6510139,1679,8397,4,theme02,2310139
6010140,일반 스테이지,1,140,7,20,일반 스테이지,40,6510140,1763,8817,4,theme02,2310140
6010141,일반 스테이지,1,141,8,1,일반 스테이지,40,6510141,1852,9258,5,theme02,2310141
6010142,일반 스테이지,1,142,8,2,일반 스테이지,40,6510142,1944,9721,5,theme02,2310142
6010143,일반 스테이지,1,143,8,3,일반 스테이지,40,6510143,2041,10207,5,theme02,2310143
6010144,일반 스테이지,1,144,8,4,일반 스테이지,40,6510144,2143,10717,5,theme02,2310144
6010145,일반 스테이지,1,145,8,5,일반 스테이지,40,6510145,2251,11253,5,theme02,2310145
6010146,일반 스테이지,1,146,8,6,일반 스테이지,40,6510146,2363,11815,5,theme02,2310146
6010147,일반 스테이지,1,147,8,7,일반 스테이지,40,6510147,2481,12406,5,theme02,2310147
6010148,일반 스테이지,1,148,8,8,일반 스테이지,40,6510148,2605,13026,5,theme02,2310148
6010149,일반 스테이지,1,149,8,9,일반 스테이지,40,6510149,2736,13678,5,theme02,2310149
6010150,일반 스테이지,1,150,8,10,일반 스테이지,40,6510150,2872,14362,5,theme02,2310150
6010151,일반 스테이지,1,151,8,11,일반 스테이지,40,6510151,3016,15080,6,theme02,2310151
6010152,일반 스테이지,1,152,8,12,일반 스테이지,40,6510152,3167,15834,6,theme02,2310152
6010153,일반 스테이지,1,153,8,13,일반 스테이지,40,6510153,3325,16625,6,theme02,2310153
6010154,일반 스테이지,1,154,8,14,일반 스테이지,40,6510154,3491,17457,6,theme02,2310154
6010155,일반 스테이지,1,155,8,15,일반 스테이지,40,6510155,3666,18330,6,theme02,2310155
6010156,일반 스테이지,1,156,8,16,일반 스테이지,40,6510156,3849,19246,6,theme02,2310156
6010157,일반 스테이지,1,157,8,17,일반 스테이지,40,6510157,4042,20208,6,theme02,2310157
6010158,일반 스테이지,1,158,8,18,일반 스테이지,40,6510158,4244,21219,6,theme02,2310158
6010159,일반 스테이지,1,159,8,19,일반 스테이지,40,6510159,4456,22280,6,theme02,2310159
6010160,일반 스테이지,1,160,8,20,일반 스테이지,40,6510160,4679,23394,6,theme02,2310160
6010161,일반 스테이지,1,161,9,1,일반 스테이지,40,6510161,4913,24563,7,theme02,2310161
6010162,일반 스테이지,1,162,9,2,일반 스테이지,40,6510162,5158,25792,7,theme02,2310162
6010163,일반 스테이지,1,163,9,3,일반 스테이지,40,6510163,5416,27081,7,theme02,2310163
6010164,일반 스테이지,1,164,9,4,일반 스테이지,40,6510164,5687,28435,7,theme02,2310164
6010165,일반 스테이지,1,165,9,5,일반 스테이지,40,6510165,5971,29857,7,theme02,2310165
6010166,일반 스테이지,1,166,9,6,일반 스테이지,40,6510166,6270,31350,7,theme02,2310166
6010167,일반 스테이지,1,167,9,7,일반 스테이지,40,6510167,6583,32917,7,theme02,2310167
6010168,일반 스테이지,1,168,9,8,일반 스테이지,40,6510168,6913,34563,7,theme02,2310168
6010169,일반 스테이지,1,169,9,9,일반 스테이지,40,6510169,7258,36291,7,theme02,2310169
6010170,일반 스테이지,1,170,9,10,일반 스테이지,40,6510170,7621,38106,7,theme02,2310170
6010171,일반 스테이지,1,171,9,11,일반 스테이지,40,6510171,8002,40011,8,theme02,2310171
6010172,일반 스테이지,1,172,9,12,일반 스테이지,40,6510172,8402,42012,8,theme02,2310172
6010173,일반 스테이지,1,173,9,13,일반 스테이지,40,6510173,8822,44112,8,theme02,2310173
6010174,일반 스테이지,1,174,9,14,일반 스테이지,40,6510174,9264,46318,8,theme02,2310174
6010175,일반 스테이지,1,175,9,15,일반 스테이지,40,6510175,9727,48634,8,theme02,2310175
6010176,일반 스테이지,1,176,9,16,일반 스테이지,40,6510176,10213,51065,8,theme02,2310176
6010177,일반 스테이지,1,177,9,17,일반 스테이지,40,6510177,10724,53619,8,theme02,2310177
6010178,일반 스테이지,1,178,9,18,일반 스테이지,40,6510178,11260,56300,8,theme02,2310178
6010179,일반 스테이지,1,179,9,19,일반 스테이지,40,6510179,11823,59115,8,theme02,2310179
6010180,일반 스테이지,1,180,9,20,일반 스테이지,40,6510180,12414,62070,8,theme02,2310180
6010181,일반 스테이지,1,181,10,1,일반 스테이지,40,6510181,13035,65174,9,theme02,2310181
6010182,일반 스테이지,1,182,10,2,일반 스테이지,40,6510182,13687,68433,9,theme02,2310182
6010183,일반 스테이지,1,183,10,3,일반 스테이지,40,6510183,14371,71854,9,theme02,2310183
6010184,일반 스테이지,1,184,10,4,일반 스테이지,40,6510184,15089,75447,9,theme02,2310184
6010185,일반 스테이지,1,185,10,5,일반 스테이지,40,6510185,15844,79219,9,theme02,2310185
6010186,일반 스테이지,1,186,10,6,일반 스테이지,40,6510186,16636,83180,9,theme02,2310186
6010187,일반 스테이지,1,187,10,7,일반 스테이지,40,6510187,17468,87339,9,theme02,2310187
6010188,일반 스테이지,1,188,10,8,일반 스테이지,40,6510188,18341,91706,9,theme02,2310188
6010189,일반 스테이지,1,189,10,9,일반 스테이지,40,6510189,19258,96292,9,theme02,2310189
6010190,일반 스테이지,1,190,10,10,일반 스테이지,40,6510190,20221,101106,9,theme02,2310190
6010191,일반 스테이지,1,191,10,11,일반 스테이지,40,6510191,21232,106161,10,theme02,2310191
6010192,일반 스테이지,1,192,10,12,일반 스테이지,40,6510192,22294,111470,10,theme02,2310192
6010193,일반 스테이지,1,193,10,13,일반 스테이지,40,6510193,23409,117043,10,theme02,2310193
6010194,일반 스테이지,1,194,10,14,일반 스테이지,40,6510194,24579,122895,10,theme02,2310194
6010195,일반 스테이지,1,195,10,15,일반 스테이지,40,6510195,25808,129040,10,theme02,2310195
6010196,일반 스테이지,1,196,10,16,일반 스테이지,40,6510196,27098,135492,10,theme02,2310196
6010197,일반 스테이지,1,197,10,17,일반 스테이지,40,6510197,28453,142266,10,theme02,2310197
6010198,일반 스테이지,1,198,10,18,일반 스테이지,40,6510198,29876,149380,10,theme02,2310198
6010199,일반 스테이지,1,199,10,19,일반 스테이지,40,6510199,31370,156849,10,theme02,2310199
6010200,일반 스테이지,1,200,10,20,일반 스테이지,40,6510200,32938,164691,10,theme02,2310200
6021001,골드 던전,2,20,1,1,가디언의 세금금고,40,6510020,5,25,111,dungeon,2310020
6021002,골드 던전,2,25,2,1,가디언의 세금금고,40,6510025,6,32,111,dungeon,2310025
6021003,골드 던전,2,30,3,1,가디언의 세금금고,40,6510030,8,41,111,dungeon,2310030
6021004,골드 던전,2,35,4,1,가디언의 세금금고,40,6510035,11,53,111,dungeon,2310035
6021005,골드 던전,2,40,5,1,가디언의 세금금고,40,6510040,13,67,111,dungeon,2310040
6021006,골드 던전,2,45,6,1,가디언의 세금금고,40,6510045,17,86,111,dungeon,2310045
6021007,골드 던전,2,50,7,1,가디언의 세금금고,40,6510050,22,109,111,dungeon,2310050
6021008,골드 던전,2,55,8,1,가디언의 세금금고,40,6510055,28,139,111,dungeon,2310055
6021009,골드 던전,2,60,9,1,가디언의 세금금고,40,6510060,36,178,111,dungeon,2310060
6021010,골드 던전,2,65,10,1,가디언의 세금금고,40,6510065,45,227,111,dungeon,2310065
6021011,골드 던전,2,70,11,1,가디언의 세금금고,40,6510070,58,290,111,dungeon,2310070
6021012,골드 던전,2,75,12,1,가디언의 세금금고,40,6510075,74,370,111,dungeon,2310075
6021013,골드 던전,2,80,13,1,가디언의 세금금고,40,6510080,94,472,111,dungeon,2310080
6021014,골드 던전,2,85,14,1,가디언의 세금금고,40,6510085,120,602,111,dungeon,2310085
6021015,골드 던전,2,90,15,1,가디언의 세금금고,40,6510090,154,769,111,dungeon,2310090
6021016,골드 던전,2,95,16,1,가디언의 세금금고,40,6510095,196,981,111,dungeon,2310095
6022001,경험치 던전,3,20,1,1,수련의 회랑,40,6510020,5,25,111,dungeon,2310020
6022002,경험치 던전,3,25,2,1,수련의 회랑,40,6510025,6,32,111,dungeon,2310025
6022003,경험치 던전,3,30,3,1,수련의 회랑,40,6510030,8,41,111,dungeon,2310030
6022004,경험치 던전,3,35,4,1,수련의 회랑,40,6510035,11,53,111,dungeon,2310035
6022005,경험치 던전,3,40,5,1,수련의 회랑,40,6510040,13,67,111,dungeon,2310040
6022006,경험치 던전,3,45,6,1,수련의 회랑,40,6510045,17,86,111,dungeon,2310045
6022007,경험치 던전,3,50,7,1,수련의 회랑,40,6510050,22,109,111,dungeon,2310050
6022008,경험치 던전,3,55,8,1,수련의 회랑,40,6510055,28,139,111,dungeon,2310055
6022009,경험치 던전,3,60,9,1,수련의 회랑,40,6510060,36,178,111,dungeon,2310060
6022010,경험치 던전,3,65,10,1,수련의 회랑,40,6510065,45,227,111,dungeon,2310065
6022011,경험치 던전,3,70,11,1,수련의 회랑,40,6510070,58,290,111,dungeon,2310070
6022012,경험치 던전,3,75,12,1,수련의 회랑,40,6510075,74,370,111,dungeon,2310075
6022013,경험치 던전,3,80,13,1,수련의 회랑,40,6510080,94,472,111,dungeon,2310080
6022014,경험치 던전,3,85,14,1,수련의 회랑,40,6510085,120,602,111,dungeon,2310085
6022015,경험치 던전,3,90,15,1,수련의 회랑,40,6510090,154,769,111,dungeon,2310090
6022016,경험치 던전,3,95,16,1,수련의 회랑,40,6510095,196,981,111,dungeon,2310095
6023001,연금 공방,4,20,1,1,셀레스티 연금 공방,40,6510020,5,25,111,dungeon,2310020
6023002,연금 공방,4,25,2,1,셀레스티 연금 공방,40,6510025,6,32,111,dungeon,2310025
6023003,연금 공방,4,30,3,1,셀레스티 연금 공방,40,6510030,8,41,111,dungeon,2310030
6023004,연금 공방,4,35,4,1,셀레스티 연금 공방,40,6510035,11,53,111,dungeon,2310035
6023005,연금 공방,4,40,5,1,셀레스티 연금 공방,40,6510040,13,67,111,dungeon,2310040
6023006,연금 공방,4,45,6,1,셀레스티 연금 공방,40,6510045,17,86,111,dungeon,2310045
6023007,연금 공방,4,50,7,1,셀레스티 연금 공방,40,6510050,22,109,111,dungeon,2310050
6023008,연금 공방,4,55,8,1,셀레스티 연금 공방,40,6510055,28,139,111,dungeon,2310055
6023009,연금 공방,4,60,9,1,셀레스티 연금 공방,40,6510060,36,178,111,dungeon,2310060
6023010,연금 공방,4,65,10,1,셀레스티 연금 공방,40,6510065,45,227,111,dungeon,2310065
6023011,연금 공방,4,70,11,1,셀레스티 연금 공방,40,6510070,58,290,111,dungeon,2310070
6023012,연금 공방,4,75,12,1,셀레스티 연금 공방,40,6510075,74,370,111,dungeon,2310075
6023013,연금 공방,4,80,13,1,셀레스티 연금 공방,40,6510080,94,472,111,dungeon,2310080
6023014,연금 공방,4,85,14,1,셀레스티 연금 공방,40,6510085,120,602,111,dungeon,2310085
6023015,연금 공방,4,90,15,1,셀레스티 연금 공방,40,6510090,154,769,111,dungeon,2310090
6023016,연금 공방,4,95,16,1,셀레스티 연금 공방,40,6510095,196,981,111,dungeon,2310095
6024001,장비 던전,5,20,1,1,에이도스의 보물 창고,40,6510020,5,25,111,dungeon,2310020
6024002,장비 던전,5,25,2,1,에이도스의 보물 창고,40,6510025,6,32,111,dungeon,2310025
6024003,장비 던전,5,30,3,1,에이도스의 보물 창고,40,6510030,8,41,111,dungeon,2310030
6024004,장비 던전,5,35,4,1,에이도스의 보물 창고,40,6510035,11,53,111,dungeon,2310035
6024005,장비 던전,5,40,5,1,에이도스의 보물 창고,40,6510040,13,67,111,dungeon,2310040
6024006,장비 던전,5,45,6,1,에이도스의 보물 창고,40,6510045,17,86,111,dungeon,2310045
6024007,장비 던전,5,50,7,1,에이도스의 보물 창고,40,6510050,22,109,111,dungeon,2310050
6024008,장비 던전,5,55,8,1,에이도스의 보물 창고,40,6510055,28,139,111,dungeon,2310055
6024009,장비 던전,5,60,9,1,에이도스의 보물 창고,40,6510060,36,178,111,dungeon,2310060
6024010,장비 던전,5,65,10,1,에이도스의 보물 창고,40,6510065,45,227,111,dungeon,2310065
6024011,장비 던전,5,70,11,1,에이도스의 보물 창고,40,6510070,58,290,111,dungeon,2310070
6024012,장비 던전,5,75,12,1,에이도스의 보물 창고,40,6510075,74,370,111,dungeon,2310075
6024013,장비 던전,5,80,13,1,에이도스의 보물 창고,40,6510080,94,472,111,dungeon,2310080
6024014,장비 던전,5,85,14,1,에이도스의 보물 창고,40,6510085,120,602,111,dungeon,2310085
6024015,장비 던전,5,90,15,1,에이도스의 보물 창고,40,6510090,154,769,111,dungeon,2310090
6024016,장비 던전,5,95,16,1,에이도스의 보물 창고,40,6510095,196,981,111,dungeon,2310095
