스킬 레벨 ID,현재 레벨,다음 레벨업에 필요한 골드 량
4080422,422,2.09e+36
4080423,423,2.94e+36
4080424,424,4.13e+36
4080425,425,5.82e+36
4080426,426,8.19e+36
4080427,427,1.15e+37
4080428,428,1.63e+37
4080429,429,2.3e+37
4080430,430,3.25e+37
4080431,431,4.59e+37
4080432,432,6.49e+37
4080433,433,9.18e+37
4080434,434,1.3e+38
4080435,435,1.84e+38
4080436,436,2.61e+38
4080437,437,3.71e+38
4080438,438,5.27e+38
4080439,439,7.49e+38
4080440,440,1.07e+39
4080441,441,1.52e+39
4080442,442,2.16e+39
4080443,443,3.08e+39
4080444,444,4.39e+39
4080445,445,6.26e+39
4080446,446,8.94e+39
4080447,447,1.28e+40
4080448,448,1.83e+40
4080449,449,2.61e+40
4080450,450,3.74e+40
4080451,451,5.36e+40
4080452,452,7.69e+40
4080453,453,1.1e+41
4080454,454,1.58e+41
4080455,455,2.28e+41
4080456,456,3.27e+41
4080457,457,4.71e+41
4080458,458,6.78e+41
4080459,459,9.76e+41
4080460,460,1.41e+42
4080461,461,2.03e+42
4080462,462,2.93e+42
4080463,463,4.23e+42
4080464,464,6.12e+42
4080465,465,8.85e+42
4080466,466,1.28e+43
4080467,467,1.86e+43
4080468,468,2.69e+43
4080469,469,3.9e+43
4080470,470,5.66e+43
4080471,471,8.22e+43
4080472,472,1.2e+44
4080473,473,1.74e+44
4080474,474,2.53e+44
4080475,475,3.68e+44
4080476,476,5.37e+44
4080477,477,7.83e+44
4080478,478,1.14e+45
4080479,479,1.67e+45
4080480,480,2.44e+45
4080481,481,3.56e+45
4080482,482,5.21e+45
4080483,483,7.63e+45
4080484,484,1.12e+46
4080485,485,1.64e+46
4080486,486,2.41e+46
4080487,487,3.53e+46
4080488,488,5.19e+46
4080489,489,7.63e+46
4080490,490,1.12e+47
4080491,491,1.65e+47
4080492,492,2.43e+47
4080493,493,3.58e+47
4080494,494,5.29e+47
4080495,495,7.8e+47
4080496,496,1.15e+48
4080497,497,1.7e+48
4080498,498,2.52e+48
4080499,499,3.73e+48
4080500,500,5.52e+48
















































































































































































































































































































































































































































































































