스테이지 ID,스테이지 정보,스테이지 타입,스테이지 레벨,층,씬,스테이지명 스트링 키,보스를 소환하기 위한 몬스터 처치 수,드랍 테이블,일반 몬스터 경험치,보스 몬스터 경험치,몬스터 스폰 그룹,맵 오브젝트
6010041,일반 스테이지,1,41,3,1,stageName_0003,120,6510041,14,70,2,theme02
6010042,일반 스테이지,1,42,3,2,stageName_0003,120,6510042,15,74,2,theme02
6010043,일반 스테이지,1,43,3,3,stageName_0003,120,6510043,16,78,2,theme02
6010044,일반 스테이지,1,44,3,4,stageName_0003,120,6510044,16,81,2,theme02
6010045,일반 스테이지,1,45,3,5,stageName_0003,120,6510045,17,86,2,theme02
6010046,일반 스테이지,1,46,3,6,stageName_0003,120,6510046,18,90,2,theme02
6010047,일반 스테이지,1,47,3,7,stageName_0003,120,6510047,19,94,2,theme02
6010048,일반 스테이지,1,48,3,8,stageName_0003,120,6510048,20,99,2,theme02
6010049,일반 스테이지,1,49,3,9,stageName_0003,120,6510049,21,104,2,theme02
6010050,일반 스테이지,1,50,3,10,stageName_0003,120,6510050,22,109,2,theme02
6010051,일반 스테이지,1,51,3,11,stageName_0003,120,6510051,23,115,2,theme02
6010052,일반 스테이지,1,52,3,12,stageName_0003,120,6510052,24,120,2,theme02
6010053,일반 스테이지,1,53,3,13,stageName_0003,120,6510053,25,126,2,theme02
6010054,일반 스테이지,1,54,3,14,stageName_0003,120,6510054,27,133,2,theme02
6010055,일반 스테이지,1,55,3,15,stageName_0003,120,6510055,28,139,2,theme02
6010056,일반 스테이지,1,56,3,16,stageName_0003,120,6510056,29,146,2,theme02
6010057,일반 스테이지,1,57,3,17,stageName_0003,120,6510057,31,154,2,theme02
6010058,일반 스테이지,1,58,3,18,stageName_0003,120,6510058,32,161,2,theme02
6010059,일반 스테이지,1,59,3,19,stageName_0003,120,6510059,34,169,2,theme02
6010060,일반 스테이지,1,60,3,20,stageName_0003,120,6510060,36,178,2,theme02
6010061,일반 스테이지,1,61,4,1,stageName_0004,120,6510061,37,187,2,theme02
6010062,일반 스테이지,1,62,4,2,stageName_0004,120,6510062,39,196,2,theme02
6010063,일반 스테이지,1,63,4,3,stageName_0004,120,6510063,41,206,2,theme02
6010064,일반 스테이지,1,64,4,4,stageName_0004,120,6510064,43,216,2,theme02
6010065,일반 스테이지,1,65,4,5,stageName_0004,120,6510065,45,227,2,theme02
6010066,일반 스테이지,1,66,4,6,stageName_0004,120,6510066,48,238,2,theme02
6010067,일반 스테이지,1,67,4,7,stageName_0004,120,6510067,50,250,2,theme02
6010068,일반 스테이지,1,68,4,8,stageName_0004,120,6510068,53,263,2,theme02
6010069,일반 스테이지,1,69,4,9,stageName_0004,120,6510069,55,276,2,theme02
6010070,일반 스테이지,1,70,4,10,stageName_0004,120,6510070,58,290,2,theme02
6010071,일반 스테이지,1,71,4,11,stageName_0004,120,6510071,61,304,2,theme02
6010072,일반 스테이지,1,72,4,12,stageName_0004,120,6510072,64,319,2,theme02
6010073,일반 스테이지,1,73,4,13,stageName_0004,120,6510073,67,335,2,theme02
6010074,일반 스테이지,1,74,4,14,stageName_0004,120,6510074,70,352,2,theme02
6010075,일반 스테이지,1,75,4,15,stageName_0004,120,6510075,74,370,2,theme02
6010076,일반 스테이지,1,76,4,16,stageName_0004,120,6510076,78,388,2,theme02
6010077,일반 스테이지,1,77,4,17,stageName_0004,120,6510077,82,408,2,theme02
6010078,일반 스테이지,1,78,4,18,stageName_0004,120,6510078,86,428,2,theme02
6010079,일반 스테이지,1,79,4,19,stageName_0004,120,6510079,90,450,2,theme02
6010080,일반 스테이지,1,80,4,20,stageName_0004,120,6510080,94,472,2,theme02
6010081,일반 스테이지,1,81,5,1,stageName_0005,120,6510081,99,496,2,theme02
6010082,일반 스테이지,1,82,5,2,stageName_0005,120,6510082,104,520,2,theme02
6010083,일반 스테이지,1,83,5,3,stageName_0005,120,6510083,109,546,2,theme02
6010084,일반 스테이지,1,84,5,4,stageName_0005,120,6510084,115,574,2,theme02
6010085,일반 스테이지,1,85,5,5,stageName_0005,120,6510085,120,602,2,theme02
6010086,일반 스테이지,1,86,5,6,stageName_0005,120,6510086,127,633,2,theme02
6010087,일반 스테이지,1,87,5,7,stageName_0005,120,6510087,133,664,2,theme02
6010088,일반 스테이지,1,88,5,8,stageName_0005,120,6510088,139,697,2,theme02
6010089,일반 스테이지,1,89,5,9,stageName_0005,120,6510089,146,732,2,theme02
6010090,일반 스테이지,1,90,5,10,stageName_0005,120,6510090,154,769,2,theme02
6010091,일반 스테이지,1,91,5,11,stageName_0005,120,6510091,161,807,2,theme02
6010092,일반 스테이지,1,92,5,12,stageName_0005,120,6510092,170,848,2,theme02
6010093,일반 스테이지,1,93,5,13,stageName_0005,120,6510093,178,890,2,theme02
6010094,일반 스테이지,1,94,5,14,stageName_0005,120,6510094,187,935,2,theme02
6010095,일반 스테이지,1,95,5,15,stageName_0005,120,6510095,196,981,2,theme02
6010096,일반 스테이지,1,96,5,16,stageName_0005,120,6510096,206,1030,2,theme02
6010097,일반 스테이지,1,97,5,17,stageName_0005,120,6510097,216,1082,2,theme02
6010098,일반 스테이지,1,98,5,18,stageName_0005,120,6510098,227,1136,2,theme02
6010099,일반 스테이지,1,99,5,19,stageName_0005,120,6510099,239,1193,2,theme02
6010100,일반 스테이지,1,100,5,20,stageName_0005,120,6510100,250,1252,2,theme02
6010101,일반 스테이지,1,101,6,1,stageName_0006,120,6510101,263,1315,2,theme02
6010102,일반 스테이지,1,102,6,2,stageName_0006,120,6510102,276,1381,2,theme02
6010103,일반 스테이지,1,103,6,3,stageName_0006,120,6510103,290,1450,2,theme02
6010104,일반 스테이지,1,104,6,4,stageName_0006,120,6510104,304,1522,2,theme02
6010105,일반 스테이지,1,105,6,5,stageName_0006,120,6510105,320,1598,2,theme02
6010106,일반 스테이지,1,106,6,6,stageName_0006,120,6510106,336,1678,2,theme02
6010107,일반 스테이지,1,107,6,7,stageName_0006,120,6510107,352,1762,2,theme02
6010108,일반 스테이지,1,108,6,8,stageName_0006,120,6510108,370,1850,2,theme02
6010109,일반 스테이지,1,109,6,9,stageName_0006,120,6510109,389,1943,2,theme02
6010110,일반 스테이지,1,110,6,10,stageName_0006,120,6510110,408,2040,2,theme02
6010111,일반 스테이지,1,111,6,11,stageName_0006,120,6510111,428,2142,2,theme02
6010112,일반 스테이지,1,112,6,12,stageName_0006,120,6510112,450,2249,2,theme02
6010113,일반 스테이지,1,113,6,13,stageName_0006,120,6510113,472,2362,2,theme02
6010114,일반 스테이지,1,114,6,14,stageName_0006,120,6510114,496,2480,2,theme02
6010115,일반 스테이지,1,115,6,15,stageName_0006,120,6510115,521,2604,2,theme02
6010116,일반 스테이지,1,116,6,16,stageName_0006,120,6510116,547,2734,2,theme02
6010117,일반 스테이지,1,117,6,17,stageName_0006,120,6510117,574,2871,2,theme02
6010118,일반 스테이지,1,118,6,18,stageName_0006,120,6510118,603,3014,2,theme02
6010119,일반 스테이지,1,119,6,19,stageName_0006,120,6510119,633,3165,2,theme02
6010120,일반 스테이지,1,120,6,20,stageName_0006,120,6510120,665,3323,2,theme02
6010121,일반 스테이지,1,121,7,1,stageName_0007,120,6510121,698,3489,2,theme02
6010122,일반 스테이지,1,122,7,2,stageName_0007,120,6510122,733,3664,2,theme02
6010123,일반 스테이지,1,123,7,3,stageName_0007,120,6510123,769,3847,2,theme02
6010124,일반 스테이지,1,124,7,4,stageName_0007,120,6510124,808,4039,2,theme02
6010125,일반 스테이지,1,125,7,5,stageName_0007,120,6510125,848,4241,2,theme02
6010126,일반 스테이지,1,126,7,6,stageName_0007,120,6510126,891,4453,2,theme02
6010127,일반 스테이지,1,127,7,7,stageName_0007,120,6510127,935,4676,2,theme02
6010128,일반 스테이지,1,128,7,8,stageName_0007,120,6510128,982,4910,2,theme02
6010129,일반 스테이지,1,129,7,9,stageName_0007,120,6510129,1031,5155,2,theme02
6010130,일반 스테이지,1,130,7,10,stageName_0007,120,6510130,1083,5413,2,theme02
6010131,일반 스테이지,1,131,7,11,stageName_0007,120,6510131,1137,5683,2,theme02
6010132,일반 스테이지,1,132,7,12,stageName_0007,120,6510132,1194,5968,2,theme02
6010133,일반 스테이지,1,133,7,13,stageName_0007,120,6510133,1253,6266,2,theme02
6010134,일반 스테이지,1,134,7,14,stageName_0007,120,6510134,1316,6579,2,theme02
6010135,일반 스테이지,1,135,7,15,stageName_0007,120,6510135,1382,6908,2,theme02
6010136,일반 스테이지,1,136,7,16,stageName_0007,120,6510136,1451,7254,2,theme02
6010137,일반 스테이지,1,137,7,17,stageName_0007,120,6510137,1523,7616,2,theme02
6010138,일반 스테이지,1,138,7,18,stageName_0007,120,6510138,1599,7997,2,theme02
6010139,일반 스테이지,1,139,7,19,stageName_0007,120,6510139,1679,8397,2,theme02
6010140,일반 스테이지,1,140,7,20,stageName_0007,120,6510140,1763,8817,2,theme02
6010141,일반 스테이지,1,141,8,1,stageName_0008,120,6510141,1852,9258,2,theme02
6010142,일반 스테이지,1,142,8,2,stageName_0008,120,6510142,1944,9721,2,theme02
6021001,골드 던전,2,20,1,1,stageName_0201,120,6510020,5,25,111,dungeon
6021002,골드 던전,2,25,2,1,stageName_0201,120,6510025,6,32,111,dungeon
6021003,골드 던전,2,30,3,1,stageName_0201,120,6510030,8,41,111,dungeon
6021004,골드 던전,2,35,4,1,stageName_0201,120,6510035,11,53,111,dungeon
6021005,골드 던전,2,40,5,1,stageName_0201,120,6510040,13,67,111,dungeon
6021006,골드 던전,2,45,6,1,stageName_0201,120,6510045,17,86,111,dungeon
6021007,골드 던전,2,50,7,1,stageName_0201,120,6510050,22,109,111,dungeon
6021008,골드 던전,2,55,8,1,stageName_0201,120,6510055,28,139,111,dungeon
6021009,골드 던전,2,60,9,1,stageName_0201,120,6510060,36,178,111,dungeon
6021010,골드 던전,2,65,10,1,stageName_0201,120,6510065,45,227,111,dungeon
6021011,골드 던전,2,70,11,1,stageName_0201,120,6510070,58,290,111,dungeon
6021012,골드 던전,2,75,12,1,stageName_0201,120,6510075,74,370,111,dungeon
6021013,골드 던전,2,80,13,1,stageName_0201,120,6510080,94,472,111,dungeon
6021014,골드 던전,2,85,14,1,stageName_0201,120,6510085,120,602,111,dungeon
6021015,골드 던전,2,90,15,1,stageName_0201,120,6510090,154,769,111,dungeon
6021016,골드 던전,2,95,16,1,stageName_0201,120,6510095,196,981,111,dungeon
6022001,경험치 던전,3,20,1,1,stageName_0202,120,6510020,5,25,121,dungeon
6022002,경험치 던전,3,25,2,1,stageName_0202,120,6510025,6,32,121,dungeon
6022003,경험치 던전,3,30,3,1,stageName_0202,120,6510030,8,41,121,dungeon
6022004,경험치 던전,3,35,4,1,stageName_0202,120,6510035,11,53,121,dungeon
6022005,경험치 던전,3,40,5,1,stageName_0202,120,6510040,13,67,121,dungeon
6022006,경험치 던전,3,45,6,1,stageName_0202,120,6510045,17,86,121,dungeon
6022007,경험치 던전,3,50,7,1,stageName_0202,120,6510050,22,109,121,dungeon
6022008,경험치 던전,3,55,8,1,stageName_0202,120,6510055,28,139,121,dungeon
6022009,경험치 던전,3,60,9,1,stageName_0202,120,6510060,36,178,121,dungeon
6022010,경험치 던전,3,65,10,1,stageName_0202,120,6510065,45,227,121,dungeon
6022011,경험치 던전,3,70,11,1,stageName_0202,120,6510070,58,290,121,dungeon
6022012,경험치 던전,3,75,12,1,stageName_0202,120,6510075,74,370,121,dungeon
6022013,경험치 던전,3,80,13,1,stageName_0202,120,6510080,94,472,121,dungeon
6022014,경험치 던전,3,85,14,1,stageName_0202,120,6510085,120,602,121,dungeon
6022015,경험치 던전,3,90,15,1,stageName_0202,120,6510090,154,769,121,dungeon
6022016,경험치 던전,3,95,16,1,stageName_0202,120,6510095,196,981,121,dungeon
6023001,연금 공방,4,20,1,1,stageName_0203,120,6510020,5,25,131,dungeon
6023002,연금 공방,4,25,2,1,stageName_0203,120,6510025,6,32,131,dungeon
6023003,연금 공방,4,30,3,1,stageName_0203,120,6510030,8,41,131,dungeon
6023004,연금 공방,4,35,4,1,stageName_0203,120,6510035,11,53,131,dungeon
6023005,연금 공방,4,40,5,1,stageName_0203,120,6510040,13,67,131,dungeon
6023006,연금 공방,4,45,6,1,stageName_0203,120,6510045,17,86,131,dungeon
6023007,연금 공방,4,50,7,1,stageName_0203,120,6510050,22,109,131,dungeon
6023008,연금 공방,4,55,8,1,stageName_0203,120,6510055,28,139,131,dungeon
6023009,연금 공방,4,60,9,1,stageName_0203,120,6510060,36,178,131,dungeon
6023010,연금 공방,4,65,10,1,stageName_0203,120,6510065,45,227,131,dungeon
6023011,연금 공방,4,70,11,1,stageName_0203,120,6510070,58,290,131,dungeon
6023012,연금 공방,4,75,12,1,stageName_0203,120,6510075,74,370,131,dungeon
6023013,연금 공방,4,80,13,1,stageName_0203,120,6510080,94,472,131,dungeon
6023014,연금 공방,4,85,14,1,stageName_0203,120,6510085,120,602,131,dungeon
6023015,연금 공방,4,90,15,1,stageName_0203,120,6510090,154,769,131,dungeon
6023016,연금 공방,4,95,16,1,stageName_0203,120,6510095,196,981,131,dungeon
6024001,장비 던전,5,20,1,1,stageName_0204,120,6510020,5,25,141,dungeon
6024002,장비 던전,5,25,2,1,stageName_0204,120,6510025,6,32,141,dungeon
6024003,장비 던전,5,30,3,1,stageName_0204,120,6510030,8,41,141,dungeon
6024004,장비 던전,5,35,4,1,stageName_0204,120,6510035,11,53,141,dungeon
6024005,장비 던전,5,40,5,1,stageName_0204,120,6510040,13,67,141,dungeon
6024006,장비 던전,5,45,6,1,stageName_0204,120,6510045,17,86,141,dungeon
6024007,장비 던전,5,50,7,1,stageName_0204,120,6510050,22,109,141,dungeon
6024008,장비 던전,5,55,8,1,stageName_0204,120,6510055,28,139,141,dungeon
6024009,장비 던전,5,60,9,1,stageName_0204,120,6510060,36,178,141,dungeon
6024010,장비 던전,5,65,10,1,stageName_0204,120,6510065,45,227,141,dungeon
6024011,장비 던전,5,70,11,1,stageName_0204,120,6510070,58,290,141,dungeon
6024012,장비 던전,5,75,12,1,stageName_0204,120,6510075,74,370,141,dungeon
6024013,장비 던전,5,80,13,1,stageName_0204,120,6510080,94,472,141,dungeon
6024014,장비 던전,5,85,14,1,stageName_0204,120,6510085,120,602,141,dungeon
6024015,장비 던전,5,90,15,1,stageName_0204,120,6510090,154,769,141,dungeon
6024016,장비 던전,5,95,16,1,stageName_0204,120,6510095,196,981,141,dungeon
