스킬 뽑기 ID,뽑기 레벨,1개 등장 가중치,2개 등장 가중치,3개 등장 가중치,4개 등장 가중치,5개 등장 가중치,10개 등장 가중치,20개 등장 가중치,30개 등장 가중치
8020047,47,2144,1889,1633,1378,1122,867,611,356
8020048,48,2133,1881,1629,1376,1124,871,619,367
8020049,49,2122,1873,1624,1375,1125,876,627,378
8020050,50,2111,1865,1619,1373,1127,881,635,389
8020051,51,2100,1857,1614,1371,1129,886,643,400
8020052,52,2089,1849,1610,1370,1130,890,651,411
8020053,53,2078,1841,1605,1368,1132,895,659,422
8020054,54,2067,1833,1600,1367,1133,900,667,433
8020055,55,2056,1825,1595,1365,1135,905,675,444
8020056,56,2044,1817,1590,1363,1137,910,683,456
8020057,57,2033,1810,1586,1362,1138,914,690,467
8020058,58,2022,1802,1581,1360,1140,919,698,478
8020059,59,2011,1794,1576,1359,1141,924,706,489
8020060,60,2000,1786,1571,1357,1143,929,714,500
8020061,61,1989,1778,1567,1356,1144,933,722,511
8020062,62,1978,1770,1562,1354,1146,938,730,522
8020063,63,1967,1762,1557,1352,1148,943,738,533
8020064,64,1956,1754,1552,1351,1149,948,746,544
8020065,65,1944,1746,1548,1349,1151,952,754,556
8020066,66,1933,1738,1543,1348,1152,957,762,567
8020067,67,1922,1730,1538,1346,1154,962,770,578
8020068,68,1911,1722,1533,1344,1156,967,778,589
8020069,69,1900,1714,1529,1343,1157,971,786,600
8020070,70,1889,1706,1524,1341,1159,976,794,611
8020071,71,1878,1698,1519,1340,1160,981,802,622
8020072,72,1867,1690,1514,1338,1162,986,810,633
8020073,73,1856,1683,1510,1337,1163,990,817,644
8020074,74,1844,1675,1505,1335,1165,995,825,656
8020075,75,1833,1667,1500,1333,1167,1000,833,667
8020076,76,1822,1659,1495,1332,1168,1005,841,678
8020077,77,1811,1651,1490,1330,1170,1010,849,689
8020078,78,1800,1643,1486,1329,1171,1014,857,700
8020079,79,1789,1635,1481,1327,1173,1019,865,711
8020080,80,1778,1627,1476,1325,1175,1024,873,722
8020081,81,1767,1619,1471,1324,1176,1029,881,733
8020082,82,1756,1611,1467,1322,1178,1033,889,744
8020083,83,1744,1603,1462,1321,1179,1038,897,756
8020084,84,1733,1595,1457,1319,1181,1043,905,767
8020085,85,1722,1587,1452,1317,1183,1048,913,778
8020086,86,1711,1579,1448,1316,1184,1052,921,789
8020087,87,1700,1571,1443,1314,1186,1057,929,800
8020088,88,1689,1563,1438,1313,1187,1062,937,811
8020089,89,1678,1556,1433,1311,1189,1067,944,822
8020090,90,1667,1548,1429,1310,1190,1071,952,833
8020091,91,1656,1540,1424,1308,1192,1076,960,844
8020092,92,1644,1532,1419,1306,1194,1081,968,856
8020093,93,1633,1524,1414,1305,1195,1086,976,867
8020094,94,1622,1516,1410,1303,1197,1090,984,878
8020095,95,1611,1508,1405,1302,1198,1095,992,889
8020096,96,1600,1500,1400,1300,1200,1100,1000,900
8020097,97,1589,1492,1395,1298,1202,1105,1008,911
8020098,98,1578,1484,1390,1297,1203,1110,1016,922
8020099,99,1567,1476,1386,1295,1205,1114,1024,933
8020100,100,1556,1468,1381,1294,1206,1119,1032,944
