드랍테이블 ID,스테이지 레벨,골드 드랍,장비 드랍 id,장비 드랍 확률(%),픽시조각 드랍 확률(%),스킬 주문서 드랍 확률(%),스킬 잼 드랍 확률(%),입장권 드랍 확률(%),빙고 일반 링크 드랍 확률,빙고 희귀 링크 드랍 확률,빙고 영웅 링크 드랍 확률,빙고 전설 링크 드랍 확률,빙고 신화 링크 드랍 확률,당기기 아이템 A드랍 확률,빙고 아이템 B드랍 확률,시너지 (일반),시너지 (희귀),시너지 (영웅),시너지 (전설),시너지 (신화)
6510027,27,1893,6520027,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510028,28,2177,6520028,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510029,29,2503,6520029,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510030,30,2879,6520030,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510031,31,3311,6520031,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510032,32,3807,6520032,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510033,33,4378,6520033,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510034,34,5035,6520034,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510035,35,5790,6520035,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510036,36,6659,6520036,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510037,37,7658,6520037,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510038,38,8806,6520038,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510039,39,10127,6520039,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510040,40,11646,6520040,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510041,41,13393,6520041,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510042,42,15402,6520042,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510043,43,17712,6520043,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510044,44,20369,6520044,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510045,45,23425,6520045,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510046,46,26938,6520046,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510047,47,30979,6520047,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510048,48,35626,6520048,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510049,49,40970,6520049,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510050,50,47116,6520050,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510051,51,54183,6520051,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510052,52,62310,6520052,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510053,53,71657,6520053,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510054,54,82405,6520054,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510055,55,94766,6520055,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510056,56,108981,6520056,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510057,57,125328,6520057,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510058,58,144128,6520058,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510059,59,165747,6520059,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510060,60,190609,6520060,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510061,61,219200,6520061,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510062,62,252080,6520062,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510063,63,289892,6520063,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510064,64,333376,6520064,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510065,65,383382,6520065,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510066,66,440889,6520066,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510067,67,507023,6520067,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510068,68,583076,6520068,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510069,69,670538,6520069,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510070,70,771118,6520070,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510071,71,886786,6520071,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510072,72,1019804,6520072,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510073,73,1172774,6520073,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510074,74,1348691,6520074,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510075,75,1550994,6520075,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510076,76,1783643,6520076,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510077,77,2051190,6520077,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510078,78,2358868,6520078,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510079,79,2712699,6520079,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510080,80,3119603,6520080,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510081,81,3587544,6520081,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510082,82,4125676,6520082,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510083,83,4744527,6520083,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510084,84,5456206,6520084,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510085,85,6274637,6520085,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510086,86,7215832,6520086,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510087,87,8298207,6520087,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510088,88,9542938,6520088,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510089,89,10974379,6520089,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510090,90,12620536,6520090,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510091,91,14513616,6520091,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510092,92,16690659,6520092,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510093,93,19194258,6520093,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510094,94,22073396,6520094,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510095,95,25384406,6520095,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510096,96,29192066,6520096,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510097,97,33570876,6520097,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510098,98,38606508,6520098,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510099,99,44397484,6520099,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510100,100,51057107,6520100,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510101,101,58715673,6520101,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510102,102,67523023,6520102,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510103,103,77651477,6520103,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510104,104,89299198,6520104,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510105,105,102694078,6520105,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510106,106,118098190,6520106,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510107,107,135812918,6520107,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510108,108,156184856,6520108,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510109,109,179612585,6520109,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510110,110,206554472,6520110,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510111,111,237537643,6520111,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510112,112,273168290,6520112,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510113,113,314143533,6520113,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510114,114,361265063,6520114,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510115,115,415454823,6520115,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510116,116,477773046,6520116,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510117,117,549439003,6520117,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510118,118,631854853,6520118,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510119,119,726633081,6520119,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510120,120,835628044,6520120,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510121,121,960972250,6520121,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510122,122,1105118088,6520122,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510123,123,1270885801,6520123,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510124,124,1461518671,6520124,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510125,125,1680746471,6520125,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510126,126,1932858442,6520126,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510127,127,2222787209,6520127,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510128,128,2556205290,6520128,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510129,129,2939636083,6520129,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510130,130,3380581496,6520130,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510131,131,3887668720,6520131,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510132,132,4470819028,6520132,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510133,133,5141441882,6520133,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510134,134,5912658165,6520134,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510135,135,6799556890,6520135,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510136,136,7819490423,6520136,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510137,137,8992413986,6520137,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510138,138,10341276084,6520138,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510139,139,11892467497,6520139,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510140,140,13676337622,6520140,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510141,141,15727788265,6520141,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510142,142,18086956505,6520142,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510143,143,20799999980,6520143,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510144,144,23919999977,6520144,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510145,145,27507999974,6520145,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510146,146,31634199970,6520146,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510147,147,36379329965,6520147,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510148,148,41836229460,6520148,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510149,149,48111663879,6520149,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510150,150,55328413461,6520150,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510151,151,63627675480,6520151,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510152,152,73171826802,6520152,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510153,153,84147600823,6520153,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510154,154,96769740946,6520154,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510155,155,111285202088,6520155,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510156,156,127977982401,6520156,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510157,157,147174679761,6520157,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510158,158,169250881725,6520158,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
